גנזי,"סודות, אוצרות"
גני,שכב לישון
גני,"שְכַב, שוכב"
גניזו,הֶסתר
גניזין,אוצרות
גננא,חופה
גסטרא,כלי שבור של חרס
גסטרון,"מיני מתכות מעורבבים, בדיל"
גסטרון,חתיכות
גפא,"כנף, גרזן"
גפף,חיבק
גפפה,חיבק אותו
גפריתא,גָּפְרִית
גרגלידא,חתיכה דקה ועגולה
גרגלידי,חתיכות דקות ועגולות
גרגשאי,גִּרְגָּשִׁי (שם של עם)
גרידא,לבדו
גריוא,מידת נפח ושטח
גרים,גורם
גריעותא,"דבר גרוע, פגם"
גריצן,עֻגוֹת
גריר,"נגרר, נמשך, מושך, גורר"
גרמא,עֶצֶם
גרמא,"עצם, לגרום לפעולה בצורה עקיפה ולא מיידית"
גרמא,"עצם, גוֹרֶמֶת"
גרמי,עַצְמֹתַי
גרמיה,"עצמו, עצמה"
גרסיה,"גרסתו, לימודו"
גמ',גמרא (סיום לשון המשנה ותחילת דיון הגמרא במשנה)
"ג""כ",גם כן
"ג""ר","ג' ראשונות-שלוש ספירות ראשונות, גזירה רעה, גברא רבה - איש חשוב, גס רוח"
"ג""ש",גזירה שוה (אחת משלוש עשרה מידות שהתורה נדרשת בהם)
"גב""ם",(מפורש בגמרא יומא יח.)
"גבא""י",(סימן)
"גג""ג",(סימן)
"גול""ה",(סימן)
"גז""ל",(סימן)
"גז""ש",גזירה שוה (אחת משלוש עשרה מידות שהתורה נדרשת בהם)
"גי""ף","(סימן, ראה שבת-דף קד - א)"
"גל""י",(סימן)
"גמ""א",אות יוונית
"גנ""ב",(סימן)
"גנב""ך",[סוכת] גוים [סוכת] נשים [סוכת] בהמה [סוכת] כותים
ד..,ש...
דא,"זאת, זה"
דא,זֹּאת
דא לגו מן דא,זה לפנים מזה
דאגמריה,שלימד אותו.
דאורייתא,"של התורה, מן התורה"
דאיהי,שהיא
דאיתער,שהתעורר.
דאמרי,שאומרים
דאשתארו,הַנִּשְׁאָרִים
דאשתארן,הַנּוֹתָרֹת (שנשארו)
דאתא,שבא
דאתפס,שנתפש
דבבו,אֵיבָה
דבהון,דִּבָּתָם
דבח,זָבַח
דבחין,זְבָחִים
דבי,של בֵית
דביתהו,אשתו
דבר,"קַח, לָקָח"
דבר אחר,"כינוי לדבר מגונה - חזיר, תשמיש המיטה, פריצות וכד', פתיחה להצעת סברה או פירוש אחר"
דברא,שדה
דברו,"לקחו, קָחוּ"
דברנון,לקח אותם
דברני,"נָחַנִי (הנחַה אותי), לְקָחַנִי"
דברת,לָקְחַה
דגורא,גָל
דהא,שהרי
דהאיך והאי,של אלה ואלה
דהב,זהב
דהבא,זֲהַב
דהבא,זהב
דובשא,דבש
דוונא,יָגוֹן
דוך,מקום
דוכסוסטוס,קלף
דוכתא,מקום
דוכתה,מקומה
דוכתי,מקומות
דומיא,דומה
דור,גּוּר (מלשון מגורים)
דורמיטא,"שינה, תרדמה"
דחיל,"פָּחַד, יָרֵא"
דחיל,פוחד
דחילו,"יראו, פחדו"
דחילו,"נּוֹרָא, יראו (פחדו)"
דחילו,יראה
דחילית,יָרֵאתִי
דחיקו,האיצו (זרזוּ)
דחל,יָרֵא
דחלא,"חִתַּת (פחד), יְרֵא"
דחלת,יָרֵאָה
דחלתא,יִרְאָה
דחלתך,אֱלֹהֶיךָ (יראתך)
דחלתכון,מוֹרַאֲכֶם
די,אֲשֶׁר
דיגלת,חִדֶּקֶל
דידהו,"שלהם, שלהן"
דידהו,שלהם
דידי,שלי
דידיה,שלו
דידיה,שֶלּוֹ
דידך,שלך
דידכו,שלכם
דידן,שלנו
דיוקנא,"צורה, צורת"
דיין,דָּן (שופט)
דיינא,דיין
דילה,לוֹ (שלו)
דילהון,לָהֶם (שלהם)
דילהון,שלהם
דילטור,"הולך רכיל, מלשין"
דילי,שלי
דיליה,שלו
דילך,לְךָ
דילכון,שלכם
דילמא,שמא
דילמא,פֶּן (אולי)
דילמא,אולי
דילן,שלנו
דילנא,לָנוּ
דין,זֶה
דין,זה
דין,אלו
דינא,דין
דינא,מִשְׁפָּט
דינא רפה,דין רפה
דיניה,דינו
דיסנא,סדין
דיסקא,אגרת [של בית דין]
דיעבד,שכבר נעשה
דיפתרא,עור שאינו מעובד כל צרכו
דיקולא,רתיחה
דיקירי,שכבדות
דיקלא,דקל
דיקנא,זָקָן
דיר,גֵּר
דישוד,שֹׁפֵךְ
דישכחנה,מֹצְאוֹ
דיתאה,דֶּשֶׁא
דכוותה,"כמוה, כמותה"
דכולי עלמא,של כל העולם
דכורא,זָכָר
דכורא,זכר
דכי,זך-טהור
דכיא,טהור
דכיא,טְּהוֹרָה
דכיר,"זָכַר (לא שכח), פָּקַד"
דכירנא,אזכור
דכר,הזכיר
דכר,זָכָר
דכרא,אַיִל
דכרין,אֵילִים
דכתיב,שכתוב
דל חדא קרא לגופיה,הסר מקרא אחד לגופו
דלא אתיידע,שלא נודע
דלא פסיק,"ללא הפסק, שאינו נפסק"
דלהון,שלהם
דלוף,עֶרְמוֹן
דלי,הרים (לגובה)
דלית,שאין
דלית לון חושבנא,שאין להם חשבון
דלכון,לָכֶם
דלכון,שלכם
דלמא,"פֶּן, לוּ (אולי)"
דלמא,שמא
דמא,דם
דמא,דַּם
דמאי,דה מאי (זה מה)-יבול שספק מעושר
דמאן,של מי
דמארי עלמא,ריבון העולם
דמה,דָמוֹ
דמותה,דְמוּתוֹ
דמותנא,דְמוּתֵנוּ
דמי,דומה
דמיא,דומה
דמיין,דומות
דמים,"כסף,דם (ברבים)"
דמך,יָשַן (מלשון שינה)
דמכון,דִּמְכֶם
דנא,חבית
דנבא,זנב
דנח,זָרַח
דני,חביות
דנן,זֶּה
דנן,הזה
דעבד,שכבר נעשה
דעתיה,דעתו
דפתרא,עור שאינו מעובד כל צרכו
דקדחי,שצמחו
דקדמך,לְפָנֶיךָ
דקלא,דקל
דר,גָּר
דרא,דּוֹר
דרא,דור
דרגא,מדרגה
דרגא עקימא,"מדרגה עקומה, אלכסון"
דרגין,מדרגות
דרגש,ספה
דרדק,"בחור שלא הגיע לסברא, קטן"
דרדקי,"בחורים שלא הגיעו לסברא, קטנים"
דרוהי,דֹרֹתָיו
דרומא,נֶּגֶב
דרועין,זְרועות
דרוש,מאמר
דרי,דֹרֹת
דריהון,דֹרֹתָם
דרית,גַּרְתִּי
דרנא,דרן [=מין תולעת]
דרעוהי,זרועותיה
דרעיה,זרועו
דרתיכון,דֹרֹתֵיכֶם
דשא,"דלת, כניסה, פתח"
דשא,דלת
דשא,"דֶּלֶת, הַדֶּלֶת"
דתב,שׁוּבוֹ
דתמן אתי מלכא,ששם הולך מלך
דתני,ששונה
דתניא,ששנויה
דתנן,ד (ש) תנן (שנינו) - ששנינו
דתקינו,תיקנו (תקנה של רבותינו)
דלעיל',דלעילא-שלמעלה
"ד""א","ד' (ארבע) אמות, דבר אחר,פירוש אחר"
"ד""ה","דיבור המתחיל במילים ..., דברי הכל (כולם מודים ש...)"
"ד""ם",(ראה סוטה ד.)
"ד""מ",דרך משל
"ד""ר",ד רבי - של רבי
"ד""ת",דברי תורה
"דא""נ",אי נמי - אם גם - גם אם
"דא""צ",שאין צריך
"דא""ק",דאמר קרא-שאמר הכתוב (שכתוב בתורה)
"דא""ר",דאמר רבי-שהרי אמר רבי...
"דאומנ""א",(סימן)
"דב""ר",(סימן)
"דבר""ה",דבראש השנה-שבראש השנה
"דברה""ר",דברשות הרבים-שברשות הרבים
"דדמ""ה",(סימן)
"דה""י",ה הי-של האות הי
"דה""ל",הוה ליה - היה לו
"דהא""ר",דהאמר רבי-שהרי אמר רבי
"דהו""ל",דהוי ליה-שהיה לו
"דהמע""ה",דוד המלך עליו השלום
"דוי""ו",של האות וו
"דיא""ש","(סימן, ראה פסחים-דף קיט - א)"
"דכ""ע",(=דכולי עלמא) של כל העולם
"דכה""ג",כהאי גוונא-בצורה כזו
"דל""ת",האות דלת
"דמ""ס",מור סבר-אדוני סבר
"דמשמ""ק",(סימן)
"דס""ד",דסלקא דעתך-העלה על דעתך (תאר לעצמך)
"דס""ת",של ספר תורה
"דע""ג",ד (ש) על גבי
"דע""י",ד (ש) כל ידי
"דע""פ",ד (ש) על פי
"דע""ש",ד (של) ערב שבת
"דעכו""ם",ד (של) עובד כוכבים ומזלות
"דק""ו",ד (ש) קל וחומר
"דקא""ל",דקא אמר ליה - שהוא אמר לו
"דקב""ה",ד (ש) של הקדוש ברוך הוא
"דקו""ף",של האות קוף
"דקוב""ה",ד (ש) של הקדוש ברוך הוא
"דקי""ל",ד (ש) הרי קיימא לן-מקובל בידיינו ש...
"דקיי""ל",ד (ש) הרי קיימא לן-מקובל בידיינו ש...
"דר""א",ד (של) רבי אליעזר
"דר""ג",ד (של) רבי רבן גמליאל
"דר""ה",של ראש השנה
"דר""ח","ד (של) רבי חנינא, של ראש חודש"
"דר""ט",ד (של) רבי טרפון
"דר""י",ד (של) רבי יוחנן \ ר' יצחק \ רב יוסף \ רבי יוסי הגלילי
"דר""ל",ד (של) ריש לקיש
"דר""מ",ד (של) רבי מאיר
"דר""נ",ד (של) רב נחמן
"דר""ע",ד (של) רבי עקיבא
"דר""פ",ד (של) רב פפא
"דר""ש",ד (של) רבי שמעון
"דראב""י",ד (של) רבי אליעזר בן יעקב
"דריב""ל",ד (של) רבי יהושע בן לוי
"דרשב""ג",ד (של) רבן שמעון בן גמליאל
"דרשב""ל",ד (של) רבי שמעון בן לקיש
"דשלב""ל",דבר שלא בא לעולם
"דת""ק",דתנא קמא-של התנא הראשון שדבר כאן
"דת""ר",תמנו רבנן-ששנו רבותינו
"דתנ""ו",(סימן)
הא,זה
הא,"זה, זאת, הרי, הלא, אבל"
הא,הִנֵּה
הא מני,"(=מאן היא) זו, מי היא"
הא מני,זו של מי היא-מי אמר את ההלכה הזו
הא תינח,זו תהא נוחה
האי,זה
האי הוה עלה,מה דינו
האידנא,"עכשו, עכשיו"
האידנא,עכשיו
הב,תן
הב,"תְּנָה, תֶּן"
הבאי,לשון גוזמא
הבו,תְּנוּ
הבי,תְּנִי
הבלא,"הבל, אד"
הבלא,חוֹם
הברא,אפלה
הדא,זה
הדא,הַזֹּאת
הדא,"זאת, זו"
הדדי,זה על זה
הדין,הזה
הדין,הַזֶּה
הדר,"חזר, חזוֹר, חוזר"
הדר,חזר שוב
הדרת,חזרת
ההוא,אותו
ההוה אמינה,הדעה הראשונה
ההיא יודאי,אותו היהודי
הואה,"הָיוּ, היתה"
הואי,הייתי
הואי,היתה
הוה,היה
הוה,הָיָה
הוה אמינא,הייתי אומר
הוו,היו
הוו,הָיוּ
הווה אמינא,"היינו אומרים, ניתן לכאורה לומר [בטעות] ש..."
הוות,הייתה
הוי,"הֱוֵה, הְיֵה, הֲיִי"
הוי,"היה, הוא"
הוי,"הֱוֵה, יש"
הויה,היתה
הוינא,הָיִינוּ
הוינא,הייתי
הויתא,הָיִיתָ
הויתי,הָיִיתִי
הון,הם
הושענא רבא,ישועה גדולה
הות,"היתה, הָיְתָה, תָּבֹא"
היאך,כיצד
הייא,מהר
היכא,אֵיפֹה
היכא,היכן
היכא קאי,מה הוא סובר
היכי,איך
היכי דמי,איך דומה
היכי דמי,"למה זה דומה,כיצד זה נראה"
הילכך,לכן
הימין,הֶאֱמִין
הימנו,ממנו
הימנותא,אמונה
הך,זה
הכא,כאן
הכא,"פֹה, הֵנָּה"
הכא נמי,אף כאן
הכי,כך
הכי השתא,וכי המקרים דומים זה לזה ?
הכי נמי,כך גם
הכי קתני,כך צריך לשנות (לתקן את השיבוש בנוסח המשנה)
הכין,כן
הלא,הֲלוֹא
הלולא,חתונה
הליך,הִתְהַלֶּךְ
הלכך,לכן
הלכתא,הלכה
הלכתא,מִּשְׁפָּט
הלכתא,"דין, הלכה"
הנהו,"אלו, אותם"
הני,אלה
הני,אלו
הני מילי,"אלה הדברים, במה דברים אמורים"
הני מילי,הדברים האלו
הניחא,נוח (מובן)
הניחא,הדבר נוח
הנך,אותם
הנך,אלו
העדי,הָסֵר
הפכתא,הַהֲפֵכָה
הרי,הנה
הרמנא,"אישור,רשות"
הרמנא,צו
השבעינהו,אשבעינהו. השביעם
השתא,עכשיו
השתא דאתית להכי,עכשיו שבאת לכך
התוכא,"התכה, היתוך"
התינח,זו תהא נוחה
התם,שם
ה',השם - הקדוש ברוך הוא
"ה""א",(=הָוָה אמינא) הייתי אומר
"ה""מ","(=הוה מצי) היה יכול, היו יכולים, (=הַנֵי מִילֵּי) אל הדברים, במה דברים אמורים"
"ה""נ","(=הכי נמי) כך גם, (=הכא נמי) אף כאן"
"ה""ג",הכי גרסינן - כך גורסים (כך צריכה להיות הגירסה הנכונה)
"ה""ד",היכי דמי - באיזה אופן מדובר
"ה""ה",הוא הדין
"ה""ז",הרי זה
"ה""ט",הכי טעמא-זהו טעם הדבר
"ה""ל",הוי ליה - היה לו - היה צריך ל... - הרי הוא
"ה""נ","הכי נמי, גם כן"
"ה""ק","הכי קשיא - אם תאמר כך אז יש קושיה .., הכי קאמר-כך הוא אמר, הכי קתני-כך שנינו"
"הא""ר",האמר רבי - הרי אמר רבי...
"האר""י",רבנו הקדוש יצחק לוריא אשכנזי
"הב""ע","הכא במאי עסקינן, כאן על מה מדובר"
"הב""ת",הבלתי תכלית
"הברכו""ת","(סימן, ראה יבמות-דף סג - א)"
"הג""ש",(סימן)
"הגה""צ",הגאון הצדיק
"הד""א",היינו דאמרי אינשי-וזהו שאומרים האנשים
"הד""ס",(סימן)
"הה""ד",וזה מה שכתוב
"הו""א","הוה אמינא, היינו אומרים ש..."
"הו""ל","הוי ליה-היה לו, היה סובר ש..."
"הול""ל",הוה ליה למימר-היה צריך לומר
"הומבה""י",(סימן)
"הומהב""י",(סימן)
"הי""ו",השם ישמרהו ויחיהו
"היק""ש",היקש
"הל""מ",הלכה למשה מסיני
"הל""ק",הכי לא קשיא-כך אין קושיה
"הלכת""א",ההלכה
"המע""ה","המוציא מחבירו עליו הראיה, המלך עליו השלום"
"הנ""מ",הני מילי-הדברים האלו
"הנצ""א",(סימן)
"העב""ד",(סימן)
"הפרי""ש",(סימן)
"הש""ס",ששה סדרים (של המשנה)
"התוה""ק",התורה הקדושה
"התרא""ה",(סימן)
ואזיל,"הלך, והולך"
ואי בעית אימא,"ואם רוצה אתה, אמור"
ואי טעי,ואם טעה
ואיתימא,"ואם תאמר, ויש אומרים"
ואסתכרו,וַיִּסָּכְרוּ
ואשתכללו,וַיְכֻלּוּ
ואתחסיל,וַיִּגָּמַל
ואתכלי,וַיִּכָּלֵא
ואתנסיסו,וַיִּתְעַצְּבוּ
ובפלוגתא,מחלוקת
ובפלוגתא דהני תנאי,ובמחלוקת של תנאים אלו
וגולתיה,"ומעילו, וגלימתו"
והוה,וַיְהִי
והוו,ויהיו
והתניא,"(=והא תניא) וזו שנויה, (=והא תניא) והרי שנויה"
וורדא,וורד
ויתק,חלשות
וכי,האם
וכי תימא,"וכשתאמר, ואם תאמר"
וליגמר,"וילמד, ונלמד"
ומד,ומזה ש... [פעולה כלשהי]
ונחו,וַיָּשֹׁכּוּ
ונטל,וַיִּסַּע
ונפצת,וַתְּעַר
ופרס,וַיֶּאֱהַל
ורמינהו,(=וּרְמֵי אִינְהוּ) והטל אותם
ורמינהי,(=וּרְמֵי אִינְהוּ) והטל אותן
ורמינן,ואנו מטילים
ושרת,וַתְּחִי
ותו,"ושוב, ועוד, ויותר"
ותו לא,ולא יותר מזה
ותחפי,וְכָפַרְתָּ
וגו',עד סוף הדיבור או הפסוק
וכו',"וכולי, וכן הלאה"
"ואצ""ל",ואין צריך לומר
"וזש""ה",וזה שאמר הכתוב
"וזשרז""ל",וזה שאמרו רבותינו זכרונם לברכה
"וחש""ב",סימן
"ויעק""ב","(סימן, ראה עירובין-דף סג - א)"
"וכ""ת","(=וְכִי תֵּימָא) וכשתאמר, ואם תאמר"
"וכ""מ",וכן משמע-וכך גם נראה
"וכ""ת",וכי תימא-ואם תאמר...
"ולמ""ד",ולמאן דאמר-ולפי דעתו של מי שאמר ש...
"ומ""ד",ומאן דאמר-מי שאמר
"ומ""ט",ומאי טעמא-ומה הסיבה
"ומ""מ",ןמכל מקום
"ומדקא""ל",ומדקאמר ליה-ומתוך זה שאמר לו
"ומנ""ל",ומנא לן-ומאין לנות מאין אנו לומדים
"ומרז""ן",(סימן)
"ומש""ה",ומשום הכי-ובגלל זה
"וס""ד",וסלקא דעתך-והעלה על דעתך (תאר לעצמך)
"וס""ל",וסבירא ליה-והוא סובר
"וע""ש","ועיין שם, וערב שבת"
"וקא""ל",וקא אמר ליה-והוא אמר לו
"וקיי""ל",וקיימא לן-ומקובל בידינו
"וקמ""ל",וקא משמע לן-וזה הא ללמד אותנו ש...
"וקרק""ע","(סימן, ראה יבמות-דף סג - א)"
זבונו,שִׁבְרוּ (קנו)
זבין,"מְכוֹר, מוכר, שָבַר, מכר"
זבינו,מָכְרוּ
זבינוהי,שִׁבְרוֹ (מה שהוא קנה)
זביני,מִקְנֵה
זבן,"מכר, זבניה. מכור אותו"
זבן,קנה
זבן,קָנָה
זבנה,קנה אותו
זבניה,"זבן. מכר, מכור אותו"
זבנין,שֹׁבְרִים (קונים)
זבנית,קָנִיתִי
זבננא,מְכָרָנוּ
זבנתון,מְכַרְתֶּם
זג,מֵסֵב
זגא,"הסב, נשען, קליפה או חרצן ופרי של ענב (מתוך הערך במילון יסטרוב)"
זהוריתא,שָׁנִי
זהרא,זוהר
זודין,"צֵדָה, מָזוֹן"
זוהרא עלאה,זוהר עליון
זווגייהו,זיווגם
זוז,סוג מטבע
זוזי,"מעות, כסף"
זוטא,קטן
זוטר,"קטן, לא חשוב הרבה"
זוטר,דבר קטן.
זוטרא,קטן
זוטרי,קטנים
זוטרתא,קטנה
זויתא,זָוִית
זיבולא בתרייתא,השלכת עפר האחרונה שבכיסוי הקבורה
זיג,"צלול, שקוף"
זיג,"זך, צלול, ברור"
זיגא,"נפוחה ושקופה, מעילה"
זיהא דשימשא,חמימות השמש
זיז,הוא כעין נסר או ראש קורה הבולט מן העלייה לחוץ וראוי לתלות בו חפציו
זיל,לֵךְ
זיל,לך
זילותא,זילזול (מלשון זול וחסר ערך)
זילי,לכי
זימנא,זמן
זימניה,זמנו
זיני מסאבותא,מִינֵי טומאה
זינין בישין,מינים רעים
זיקא,רוח
זיקא בזיקא,רוח ברוח
זיתא,זַיִת
זכאה,צַדִּיק
זכאי,צַדִּיק
זכאין,"נְקִיִּם, צַדִּיקִם"
זכאן,זוכים
זכי,נָקִי
זכיא,זכתה
זמין,"זִמֵּן, הַקְרֵה"
זמנא,"פַּעַם (זמן), מּוֹעֵד"
זמנין,"מוֹעֲדִים, פְּעָמִים"
זמנין,"פעמים, עיתים"
זמנין,"לפעמים, לעיתים"
זן,כילכל (פירנס)
זנה,מִינוֹ
זנותא,זְנוּנִים
זניאת,זָנְתָה
זעיר,"מְעַט, קָטָן"
זעיר,קטן
זעירא,"קָּטָן, צָעִיר"
זעירא,קטן
זעירה,נְּעֻרָיו
זעירין,"אֲחָדִים, מְעַט"
זעפא,רוח סערה
זערא,קָּטֹן
זערתא,"קְּטַנָּה, צְּעִירָה"
זעתא,זעה
זקף,נָשַא (את עיניו)
זקפה,הרים אותה
זקפוהו,צלבוהו
זקפת,נשאה (את עיניה)
זרועא,"חָרִישׁ, זֶרַע"
זרזין,חֲגֹרֹת
זרעא,"זֶרַע, זָּרַע"
זרעה,זַרְעוֹ
זרעית,מִשְׁפָּחוֹת
זרעיתהון,מִשְׁפְּחֹתֵיהֶם
זרעיתי,מִשְׁפַּחְתִּי
זרתין,זְרָתוֹת
"ז""ח",זהר חדש
"ז""ל",זכרונו לברכה
"ז""ש","זה שאמר, זהו שנאמר (על זה הכוונה)"
"זא""ת","(סימן, ראה יבמות-דף סג - א)"
"זוה""ק",ספר הזוהר הקדוש
"זיל""א","(סימן, ראה עירובין-דף סג - א)"
"זיר""א",(סימן)
"זלפ""ן",(סימן)
"זמירו""ת",(סימן)
"זע""ז",זה עם זה
"זצ""ל",זכר צדיק לברכה
"זצוק""ל",זכר צדיק וקדוש לברכה
חָיִל,צבא
חבו,חטאו
חביבותא,חביבות
חבילו,הִשְׁחִית
חביצא,תבשיל שקורין שלנקיק שמפררין בה פת
חביתא,חבית
חבראי,חברי
חברה,רֵעֵהוּ
חברותא,"חברה, חבר ללימוד"
חברותא,חברה
חבריה,רֵעֵהוּ
חגא,חג
חד,אֶחָד
חד,אחד
חדא,"אַחַת, אַחַד"
חדא,אחת
חדא,אחד
חדא מחתא,באריג אחד (בו זמנית - בבת אחת)
חדו,"שמחים, צוחקים"
חדוא,צְחֹק
חדוהי,"חזה, החזה שלה"
חדי,שמח
חדי,צחק
חדתי,חדשה
חדתי,"חדשים, חדשה"
חואה,הַחִוִּי ((שם של עם))
חובא,"חטא, עֲוֹן, אָשָׁם, פֶּשַׁע"
חובי,"פִּשְׁעִי, עֲוֹנִי"
חובתהון,חַטָּאתָם
חוו,הַגִּידוּ
חוור,לבן
חוורא,לבנה
חוטא,חוּט
חוטרא,"עץ, מקל"
חוטרא,הַמַּטֶּה
חוטריא,מַּקְלוֹת
חוטרך,מַטְּךָ
חוי,הראה
חוי,"הִגִּיד, הַגִּידִי, הִגִּיד, הַגִּידָה, הגיד (אמר)"
חויא,נָּחָשׁ
חויא,נחש
חויאו,הגידו
חויאת,אָמְרַה
חויו,"הגידו, ספרו"
חוינא,"נגיד, נאמר"
חוית,הִגַּדְתָּ
חויתא,הִגַּדְתָּ
חוך,בוּז
חוכא,שחוק
חולקא,מנוחה
חומא,חֹם
חופאה,מִכְסֵה
חופאה,"מכסה, כיסוי"
חור,לָבָן
חור,לבן
חור,לבן (צבע)
חוראה,הַחֹרִי (שם של עם)
חורבא,חורבן
חורין,לְבָנוֹת
חורפא,"חוד (סכין), חריף בטעם, חריף בשכל"
חורפן,כְּבָשֹׂת
חושבניה,"חישבוהו, חישבו אותו"
חות,"חַיְתוֹ, חַיַּת, רְדָה (רד)"
חותו,רְדוּ
חזא,ראה
חזא,רָאָה
חזאה,ראה אותה
חזו,"רְאוּ, רָאוּ"
חזוא,מַרְאֶה
חזווא,"חיזיון, מראֶה"
חזוי,מַרְאֹת
חזי,"רֹאֶה, רְאֵה"
חזי,ראה
חזיא,ראתה
חזייה,ראוהו
חזינא,רָאִינוּ
חזינא,ראינו
חזינא,אני רואה
חזית,"אתה רואה, תראה"
חזית,"ראיתי, רָאִיתָ"
חזיתון,רְאִיתֶם
חזיתי,רָאִיתִי
חזיתיה,ראיתי אותו
חזן,רֹאוֹת
חזנהו,ראה אותם
חזנון,ראה אותם
חזת,רָאֲתָה
חזתה,רְאִיתִיו (ראיתי אותו)
חזתי,רָאִיתִי
חטאהון,חַטָּאתָם
חטופין,חָמָס
חטיטו,תפרו
חטין,חִטִּים
חיא,"חַיִּים, חַי"
חיבא,רָשָׁע
חיבין,אֲשֵׁמִים
חיבין,רשעים
חיוהי,חַיָּיו
חיוורא,לבנה
חיויא,נחש
חיון,חיות
חיור,לבן
חיותא,חיה
חיזו,מראֶה
חיזו,מַרְאֶה
חיזרא,"קוץ, ענף-שפוד, סובין"
חיי,חַיִּים
חייא,חַיִּים
חייבין,רשעים
חייך,"שוחק, חוכך [=מגרד]"
חייך,חַיֶּיךָ
חיין,חַיִּים
חייצי,חוצצים
חיישינן,אנו חוששים
חיכית,צָחַקְתִּי
חיכת,"צָחֲקָה, צָחָקְתְּ"
חילא,צבא
חילא,חַיִל
חילה,"כֹּחָהּ, צְבָאוֹ"
חילי,כֹּחִי
חיליה,צבאו
חיליהון,צבאותם
חיליהון,צְבָאָם
חילין,צבאות
חילמא,חֲלֹם
חימרא,חֵמָר
חינגא,"מחולות,ריקודים"
חינגא,מחול
חיסורי מחסרא,חסר משהו (שיבוש) בנוסח המשנה
חירו,חֹרִי
חיתא,"מְיַלֶּדֶת, חַיָּה"
חכים,"זְקֻנִים, חָכָם, עָרוּם"
חכימהא,חֲכָמֶיהָ
חכמתא,מִרְמָה
חלא,"חומץ, חול, החמיץ"
חלא,חוֹל
חלופא,חילוף
חלימית,חָלָמְתִּי
חליף,"החליף, עבר, עובר"
חלמא,חלום
חלמא,חֲלוֹם
חלמה,חֲלֹמוֹ
חלמוהי,חֲלֹמֹתָיו
חלמי,חֲלוֹמִי
חלמיא,חֲלֹמוֹת
חלמית,חָלַמְתִּי
חלמנא,"חֲלֹמֹתֵינוּ, חָלַמְנוּ"
חלמתא,חָלָמְתָּ
חלף,"עֵקֶב, יַעַן, תַּחַת"
חלקא,חֹק
חלקהון,חֶלְקָם
חלקין,יָּדֹת (חלקים)
חלש,חלה
חלתא,"חלת דבש, כוורת"
חמאן,ראה אותם
חמוהא,חָמִיהָ
חמויך,חָמִיךְ
חמי,ראה
חמינא,ראיתי
חמירא,"חמורה יותר, חמץ"
חמישאי,חֲמִישִׁי
חמע,החמיץ
חמר,יָיִן
חמר,יין
חמרא,יַּיִן
חמרא,יין
חמרא,"חמור, יין"
חמרה,"יֵּינוֹ, חֲמֹרוֹ"
חמריא,חֲמֹרִים
חמריהון,חֲמֹרֵיהֶּם
חמרין,חמורים
חמרין,חֲמֹרִים
חמרנא,חֲמֹרֵינוּ
חמשא,חֲמִשָּׁה
חמשין,חֲמִשִּׁים
חמתהון,עֶבְרָתָם
חן,חָנַן
חנגא,מחול (ועל שם שבני אדם סובבים והולכים בשוק כעין סובבות במחולות קרי ליה חנגא)
חנותא,חנות
חניטיא,חֲנֻטִים
חס,חָלִילָה
חסדא,חָסֶד
חסדן,חֲסָדִים
חסודא,חֶרְפָּה (בושה)
חסודי,חֶרְפָּתִי
חסורי מיחסרא והכי קתני,להתחסר הם חסרים וכך שונים - נפל שיבוש בגירסאת המשנה וכך צריכה להיות הגירסה הנכונה
חסידא,חסיד
חסיכן,דַּלּוֹת
חסיכתא,רַקּוֹת
חסיר,חסר
חסירן,רַקּוֹת
חסף,חימר
חספא,חרס
חפיאו,כיסו (בשמיכה)
חפרית,חָפַרְתִּי
חצד,קְצִיר
חצדא,קָצִיר
חצינא,מכוש
חקל,שְׂדֵה
חקלא,שדה
חקלא,שָּׂדֶה
חקלה,שָׂדֵהוּ
חרבא,"חרב, סכין"
חרבא,חֶרֶב
חרבה,חַרְבּוֹ
חרוב,נחרב
חרפא,מוקדם
חרצה,מָתְנָיו
חרשי,חַרְטֻמֵּי
חרשיא,חַרְטֻמִּים
חרשין,"כישוף, כשפים"
חשביתו,"חושבים, מחשיבים"
חשבתון,חֲשַׁבְתֶּם
חשוכא,חֹשֶׁךְ
חשיב,"חשב, מנה"
חשיבו,"יָזְמוּ (תכננו, זממו)"
חשכתא,חושך
חתאה,הַחִתִּי (שם של עם)
חתול,שונרא
חתנא,חָתָן
חתנוהי,חֲתָנָיו
חתנוותא,חתנים
"ח""א","חכמים אומרים, חלק א'"
"ח""ב",חלק ב'
"ח""ג",חלק ג'
"ח""ד",חלק ד'
"ח""ה",חלק ה'
"ח""ו","חס ושלום, חלק ו'"
"ח""ז",חלק ז'
"ח""ח",חפץ חיים
"ח""ל",חוץ לארץ
"ח""נ",חצי נזק
"ח""ק",(סימן)
"חב""ד",(סימן)
"חב""ר",(סימן)
"חבי""ת",חלב בשר יין תכלת (סימן)
"חביר""ו",(סימן)
"חבית""י",(סימן)
"חגב""י",חלב גבינה ביצה יין (מפורש בגמרא יומא יח.)
"חגב""ש",חלב גבינה בצלים שחלים (סימן)
"חו""ב",(סימן)
"חו""ל",חוץ לארץ
"חוש""מ",חושן משפט
"חז""ל",חכמינו זכרונם לברכה
"חז""ר",(סימן)
"חזקי""ה",(סימן)
"חטא""ת",(סימן)
"חי""ת",האות חית
"חיצ""ת",(סימן)
