אזיל,"לֵךְ, אני אלך, הוֹלֵךְ, אֵלְכָה"
אזיל,הולך
אזילו,לְכוּ
אזל,"לֵךְ, הוֹלֵךְ, תֵלֵךְ, הָלַךְ"
אזל,הלך
אזלא,הולכת
אזלא,הלכה
אזלה,הלכה
אזלו,הָלְכוּ
אזלו,הלכו
אזלי,הולכים
אזלין,הולכים
אזלין,"הוֹלְכִים, הָלוֹךְ"
אזלינן,הולכים
אזלינן,הולכים אנו
אזלית,הָלָכְתִּי
אזלת,"הלכה, הָלַכְתָּ"
אחא,אָח
אחבל,אַשְׁחִית
אחד,אחז (החזיק)
אחדו,סָגָרוּ
אחדתה,תפשה אותו
אחהא,אַחֶיהָ
אחוב,אחטא
אחוה,"אָחִיהָ, אָחוּ (מקום מרעה)"
אחוהא,"האח של, אָחִיהָ"
אחוהון,אֲחֵיהֶם
אחוהי,"אֶחָיו, אֲחֵי (בסמיכות), אָחִיו, אֲחִי (האח של)"
אחוי,"הראה (מלשון להראות משהו, בדר""כ הכוונה לעשייה)"
אחוי,אַגִּידָה
אחוך,"אָחִיךָ, אַחֶיךָ"
אחוכון,אֲחִיכֶם
אחונא,אָחִינוּ
אחורוהי,אַחֲרָיו
אחות,אֵרֵד
אחזי,"הֶרְאָה לי, הֶרְאָה, אֶרְאֶה"
אחזיה,אחזו
אחזנה,"אראה אותה, אֶרְאֶנּוּ"
אחזנך,אַרְאֶךָּ (אראה לך)
אחיד,"אחוז, אוחז, אחז"
אחיד,נֶאֱחַז
אחידא,אֹחֶזֶת
אחיכו,לעגו
אחין,אַחִים
אחית מטרא,"הוריד גשם, המטיר"
אחיתוהי,הוֹרִדֻהוּ
אחיתת,הורידה
אחלתא,חִלַּלְתָּ
אחנא,אַחֵינוּ
אחסינו,נאחזו (גרו)
אחסנא,"אֲחֻזָּה, נַחֲלָה"
אחסנת,אֲחֻזַּת
אחסנתא,"העברת ירושה, נחלה"
אחסנתהון,"נַחֲלָתָם, אֲחֻזָּתָם"
אחרא,"אחר, אחרת"
אחרינא,אחר
אחריני,אחרים
אחריתא,אחרת
אחריתי,אחרים
אחרן,אַחֵר
אחרנא,אַחֵר
אחרנין,"אֲחֵרִים, אֲחֵרוֹת"
אחרנתא,אַחֶרֶת
אחשביה,החשיב אותו (ייחס לו חשיבות)
אחתה,"אֲחוֹת, אֲחֹתוֹ, אֲחֹתָהּ"
אחתהון,"אֲחוֹתָם, אֲחֹתָם"
אחתוהו,הורידוהו
אחתוהי,הוֹרִדֻהוּ
אחתנא,אֲחוֹתֵנוּ
אחתתה,הניחה
אטדין,דַרְדַּר
אטו,"בגלל,בשביל"
אטו,"כלום?, וכי?, משום"
אטמירו,נסתרו
אטמרת,נַחְבֵּאתָ
אטעיני,הִשִּׁיאַנִי
אטעמני,הַלְעִיטֵנִי
אטף,הטביע במים
אטר,אֶשְׁמֹר
אטרנך,אשמור אותך
אי,"לא, אם"
אי,אם
אי איתמר הכי איתמר,אם נאמר כך נאמר
אי אמרת בשלמא,אם אתה אומר בשלום.
אי אפשי,לא רוצה
אי בעית אימא,"אם רוצה אתה, אמור"
אי בעית אימא,אם תרצה אמור - אפשר גם לומר
אי הכי,אם כך
אי הכי,אם כן
אי לאו משום,אי לאו משום
אי תימא,אם תאמר
איבין,"תולָדות, נשמות"
איבעי,נשאל
איבעי,"אשאל, אִיבָּעֵי לֵיה. היה צריך, נתבקש, היה צריך"
איבעי לך,היית צריך
איבעיא,"נשאלה (שאלה), אִיבָּעְיָא להוֹ. נשאלה להם (שאלה)., אִיבָּעְיָא לֵיהּ. נשאלה לו"
איבעית,"נבעת, אִיבָּעֵית אֵימָא. אם רוצה אתה, אמור., אם רוצה אתה"
איבעית אימא,אם תרצה אמור
איבעית אימא,"אם רוצה אתה, אמור"
איברא,"זרוע., אמת, ברור"
איברא,"באמת, אמת, נכון הדבר"
איבריה,אברו
איגלאי,נתגלתה
איגלי,"אגלה, נתגלה"
איגנוב,נגנבו
איגניב,נגנב
איגרא,גג
אידחי,"נדחה, אדחה"
אידי,זה
אידך,"האחר, השאר"
אידך,"אָחֶר, האחר"
אידכר,"נזכר, היזכר"
אידמי,נידמה כ ...
אידע,אֵדַע
אידרא,דגל
איהו,הוא
איהי,היא
איהך,אֵלְכָה
איזול,אלך
איזיל,"לֵךְ (בציווי), אֵלֵךְ"
איזיל,אלך
איזילו,לְכוּ
איזל,לֶךְ
איחזי,אראה
איטמישא,נטבלה במים
איטמר,"התחבא, הסתתר"
איטמרית,"התחבאתי, הסתתרתי"
איידי,בדרך אגב
איירי,עוסק ב...
אייתו,הביאו
אייתי,הביא
אייתינהו,הביאם
איכא,יש
איכא,"(=אית כא) יש כאן, יש"
איכא בינייהו,יש ביניהם (פתיחה להסבר ההבדל בין שיטות שעל פניו נראות דומות)
איכא דאמרי,יש אומרים
איכא דרמי להו מירמא,יש שמטיל אותם הטל
איכול,"אוֹכַל (בעתיד), אֹכַל"
אילוט,אָאֹר (אקלל)
אילולא,לוּלֵי
אילימא,אם נאמר
אילימא,(=אי לימא) אם יאמַר
אילין,אלה
אילמי,אילמים
אילן,עֵץ
אילנא,עֵץ
אילני,עצים
אילני חקלא,שיח השדה
אילניא,שיחים
אימא,תאמר
אימא,אמור
אימות,אָמוּת
אימליך,"נמלך, התיעץ"
אימעוט,התמעטו
